--- START ---
[Block #493] X:50 | Y:600 | Entropy: 4.91 bits/pixel
[Block #494] X:100 | Y:600 | Entropy: 5.47 bits/pixel
[Block #495] X:150 | Y:600 | Entropy: 6.48 bits/pixel
[Block #496] X:200 | Y:600 | Entropy: 6.38 bits/pixel
[Block #497] X:250 | Y:600 | Entropy: 6.13 bits/pixel
[Block #498] X:300 | Y:600 | Entropy: 5.67 bits/pixel
[Block #499] X:350 | Y:600 | Entropy: 1.95 bits/pixel
[Block #500] X:400 | Y:600 | Entropy: 2.35 bits/pixel
[Block #516] X:1200 | Y:600 | Entropy: 6.19 bits/pixel
[Block #517] X:1250 | Y:600 | Entropy: 5.0 bits/pixel
[Block #518] X:1300 | Y:600 | Entropy: 2.96 bits/pixel
[Block #519] X:1350 | Y:600 | Entropy: 2.97 bits/pixel
[Block #520] X:1400 | Y:600 | Entropy: 3.7 bits/pixel
[Block #521] X:1450 | Y:600 | Entropy: 3.29 bits/pixel
[Block #522] X:1500 | Y:600 | Entropy: 3.13 bits/pixel
[Block #523] X:1550 | Y:600 | Entropy: 2.86 bits/pixel
[Block #542] X:450 | Y:650 | Entropy: 5.13 bits/pixel
[Block #543] X:500 | Y:650 | Entropy: 5.53 bits/pixel
[Block #544] X:550 | Y:650 | Entropy: 5.20 bits/pixel
[Block #545] X:600 | Y:650 | Entropy: 5.43 bits/pixel
[Block #546] X:650 | Y:650 | Entropy: 6.10 bits/pixel
[Block #547] X:700 | Y:650 | Entropy: 5.13 bits/pixel
[Block #548] X:750 | Y:650 | Entropy: 6.42 bits/pixel
[Block #579] X:250 | Y:700 | Entropy: 5.88 bits/pixel
[Block #580] X:300 | Y:700 | Entropy: 5.46 bits/pixel
[Block #581] X:350 | Y:700 | Entropy: 2.5 bits/pixel
[Block #582] X:400 | Y:700 | Entropy: 4.26 bits/pixel
[Block #583] X:450 | Y:700 | Entropy: 4.89 bits/pixel
[Block #584] X:500 | Y:700 | Entropy: 4.60 bits/pixel
[Block #585] X:550 | Y:700 | Entropy: 5.60 bits/pixel
[Block #586] X:600 | Y:700 | Entropy: 6.22 bits/pixel
[Block #606] X:1600 | Y:700 | Entropy: 3.30 bits/pixel
[Block #607] X:1650 | Y:700 | Entropy: 3.39 bits/pixel
[Block #608] X:1700 | Y:700 | Entropy: 3.86 bits/pixel
[Block #609] X:1750 | Y:700 | Entropy: 3.36 bits/pixel
[Block #610] X:1800 | Y:700 | Entropy: 3.39 bits/pixel
[Block #611] X:1850 | Y:700 | Entropy: 3.29 bits/pixel
[Block #612] X:1900 | Y:700 | Entropy: 3.28 bits/pixel
[Block #613] X:1950 | Y:700 | Entropy: 3.33 bits/pixel
[Block #635] X:1000 | Y:750 | Entropy: 5.40 bits/pixel
[Block #636] X:1050 | Y:750 | Entropy: 4.95 bits/pixel
[Block #637] X:1100 | Y:750 | Entropy: 4.9 bits/pixel
[Block #638] X:1150 | Y:750 | Entropy: 4.95 bits/pixel
